fine_signature,stratum,task_type,complexity,domain,reviewer_model,n,mean_score,mean_workflow_cost,mean_estimated_cost,intervention_rate,success_rate,mean_reviewer_score
infra|c4|infrastructure,ts_std_med,infra,4.0,infrastructure,gpt-5.5,1,0.82,0.0,0.5542494,0.0,1.0,0.55
infra|c5|backend,ts_std_large,infra,5.0,backend,claude-haiku-4-5-20251001,1,0.92,18.532908000000003,0.45667009999999997,0.0,1.0,0.85
infra|c5|backend,ts_std_med,infra,5.0,backend,claude-haiku-4-5-20251001,1,0.95,4.502196250000001,0.1392919,0.0,1.0,0.92
infra|c5|backend,ts_std_large,infra,5.0,backend,gpt-5.5,3,0.7799999999999999,17.172858333333334,0.6241730666666666,0.0,0.3333333333333333,0.61
infra|c5|frontend,ts_std_large,infra,5.0,frontend,claude-opus-4-7,1,0.86,6.72632125,0.4427538,1.0,1.0,0.62
infra|c5|frontend,ts_std_large,infra,5.0,frontend,gpt-5.5,2,0.855,36.74008996,0.34260555000000004,0.5,0.5,0.775
infra|c5|full-stack,ts_std_large,infra,5.0,full-stack,claude-haiku-4-5-20251001,1,0.52,14.368613874999998,0.15666080000000002,1.0,0.0,0.55
infra|c5|full-stack,unknown_large,infra,5.0,full-stack,claude-haiku-4-5-20251001,1,0.68,14.491611374999998,0.4761882,1.0,0.0,0.55
infra|c5|full-stack,unknown_large,infra,5.0,full-stack,claude-opus-4-7,1,0.92,3.2044187500000003,0.5216305999999999,0.0,1.0,0.82
infra|c5|full-stack,unknown_large,infra,5.0,full-stack,gemini-2.5-pro,1,0.6,13.870630124999998,0.6295248,1.0,0.0,0.55
infra|c5|full-stack,ts_std_large,infra,5.0,full-stack,gpt-5.5,1,0.88,0.0,0.2886396,0.0,1.0,0.88
infra|c5|full-stack,unknown_large,infra,5.0,full-stack,gpt-5.5,3,0.5733333333333334,7.075720458333333,0.4586974,0.6666666666666666,0.3333333333333333,0.47666666666666674
refactor|c4|backend,ts_std_med,refactor,4.0,backend,claude-haiku-4-5-20251001,1,0.83,6.57513125,0.37020379999999997,1.0,1.0,0.75
refactor|c4|backend,unknown_med,refactor,4.0,backend,claude-haiku-4-5-20251001,1,0.45,11.363223625,0.5360722,1.0,0.0,0.5
refactor|c4|full-stack,unknown_large,refactor,4.0,full-stack,claude-haiku-4-5-20251001,1,0.68,9.796551375,0.5504838,1.0,0.0,0.55
refactor|c4|full-stack,unknown_med,refactor,4.0,full-stack,claude-opus-4-7,1,0.4,11.917818875000002,0.5994068,1.0,0.0,0.6
refactor|c4|full-stack,ts_std_large,refactor,4.0,full-stack,gpt-5.5,1,0.72,9.972663375,0.9067852,1.0,0.0,0.55
refactor|c5|backend,unknown_large,refactor,5.0,backend,claude-haiku-4-5-20251001,1,0.86,11.703302625000001,0.45156979999999997,1.0,1.0,0.72
refactor|c5|data-pipeline,unknown_large,refactor,5.0,data-pipeline,claude-haiku-4-5-20251001,2,0.79,8.25670775,0.48359470000000004,0.5,0.5,0.725
refactor|c5|full-stack,unknown_large,refactor,5.0,full-stack,claude-haiku-4-5-20251001,1,0.95,12.001036375,0.4876162,0.0,1.0,0.88
refactor|c5|full-stack,unknown_large,refactor,5.0,full-stack,gpt-5.5,1,0.92,8.553778375000002,0.5421542,0.0,1.0,0.85
test|c2|backend,ts_std_med,test,2.0,backend,claude-opus-4-7,1,0.52,0.0,0.44947420000000005,1.0,0.0,0.62
test|c2|full-stack,unknown_med,test,2.0,full-stack,claude-opus-4-7,1,0.68,11.861354377000001,0.271181,1.0,0.0,0.55
test|c3|backend,unknown_med,test,3.0,backend,gpt-5.5,1,0.85,0.0,0.4732084,0.0,1.0,0.7
test|c3|full-stack,ts_std_large,test,3.0,full-stack,gpt-5.5,1,0.55,27.460267,0.22000060000000002,0.0,0.0,0.3
test|c4|data-pipeline,ts_std_large,test,4.0,data-pipeline,claude-opus-4-7,1,0.84,19.38141608,0.4986725000000001,1.0,1.0,0.72
test|c4|data-pipeline,ts_std_large,test,4.0,data-pipeline,claude-sonnet-4-6,1,0.95,19.759699,0.37305650000000007,0.0,1.0,0.8
test|c4|full-stack,unknown_large,test,4.0,full-stack,claude-haiku-4-5-20251001,1,0.83,3.41866875,0.5694739999999999,1.0,1.0,0.78
test|c4|full-stack,ts_std_large,test,4.0,full-stack,claude-opus-4-7,1,0.83,5.68890607,0.19022460000000002,1.0,1.0,0.76
test|c4|full-stack,ts_std_large,test,4.0,full-stack,gpt-5.5,1,0.55,13.43039438,0.1418013,1.0,0.0,0.48
test|c5|backend,ts_std_large,test,5.0,backend,gpt-5.5,2,0.925,0.0,0.3301355,0.0,1.0,0.8400000000000001
test|c5|full-stack,unknown_large,test,5.0,full-stack,claude-haiku-4-5-20251001,1,0.55,5.95219375,0.4316508,1.0,0.0,0.65
